index,dpt_pseudotime
Run4_122436456212725,0.18982606
Run4_122436474493213,0.30230778
Run4_122436475018661,0.17636603
Run4_122514677619036,0.12909444
Run4_122514692500702,0.08370352
Run4_122514723751852,0.20595214
Run4_125042399558901,0.17063361
Run4_125042400315742,0.16463184
Run4_125042414278451,0.28244758
Run4_125042414733164,0.6659123
Run4_125042426763101,0.011248713
Run4_125042445641635,0.2835609
Run4_125197018315102,0.22803907
Run4_125197033818014,0.29975012
Run4_125197045586333,0.30037817
Run4_125197046212445,0.2253926
Run4_125197046434094,0.080262184
Run4_125239714305827,0.7861186
Run4_125239714765020,0.39093745
Run4_125239745961379,0.2716117
Run4_125239746509676,0.054964576
Run4_125247350487987,0.49427962
Run4_125247350523828,0.53979874
Run4_125247364709155,0.07905469
Run4_125247364970933,0.58077455
Run4_125247377566965,0.473515
Run4_125677920545627,0.0128502175
Run4_125677920769780,0.6448061
Run4_125677920967478,0.5770992
Run4_125677920970611,0.12741081
Run4_125677921254187,0.21054049
Run4_125677921266413,0.03557157
Run4_125677947799403,0.21057971
Run4_125677966585070,0.35124356
Run4_125677967206756,0.11732092
Run4_125719945276334,0.12113505
Run4_125719945333155,0.5565841
Run4_125719976725363,0.19433497
Run4_125719977541037,0.36986554
Run4_125719977548197,0.3645533
Run4_125728252684085,0.27116147
Run4_125728252905323,0.107051045
Run4_125728266829044,0.10685903
Run4_125728267127014,0.2785896
Run4_125728267327389,0.25024298
Run4_125728298232628,0.19313085
Run4_125745298098036,0.6068199
Run4_125745298291501,0.21645671
Run4_125745325263726,0.51855
Run4_125745343944941,0.50842917
Run4_125745344199091,0.2004903
Run4_126132128005486,0.13194592
Run4_126132128200630,0.2631802
Run4_126132128500452,0.102053545
Run4_126132128800156,0.4810534
Run4_126132141381982,0.20497182
Run4_126132159462771,0.69440717
Run4_126149051926902,0.22400856
Run4_126149052745526,0.6003261
Run4_126149071067430,0.18686542
Run4_126149071162742,0.20347445
Run4_126218818148142,0.5855012
Run4_126218818710238,0.7203247
Run4_126218832627933,0.04860984
Run4_126218845501230,0.074857
Run4_126218845961141,0.11738566
Run4_126218845964661,0.07990398
Run4_126218864355163,0.29200017
Run4_126218864650676,0.51717573
Run4_126227542817590,0.03383695
Run4_126227542919516,0.2230436
Run4_126227557039341,0.11285222
Run4_126227557046070,0.3510888
Run4_126227557243316,0.27320918
Run4_126227557275374,0.6265659
Run4_126227569366820,0.18525217
Run4_126227569392476,0.51233596
Run4_126227569621427,0.17056942
Run4_126227588246750,0.15668818
Run4_126227588791004,0.2958156
Run4_126227588802285,0.23435171
Run4_126293980141348,0.4632128
Run4_126293980661533,0.12881272
Run4_126293994757531,0.71028346
Run4_126293995272043,0.49390566
Run4_126294007335772,0.21134977
Run4_126294026566566,0.09575349
Run4_126364042279838,0.4535712
Run4_126364069050716,0.33644694
Run4_126364069287782,0.27476102
Run4_126364087696755,0.49345493
Run4_126364087900021,0.45166355
Run4_126364087905005,0.13872042
Run4_126364087905510,0.16401356
Run4_126364088155371,0.20712532
Run4_126680929782694,0.31609833
Run4_126680929789814,0.2178892
Run4_126680944201140,0.24511327
Run4_126680957369771,0.38427106
Run4_126680975730542,0.18055776
Run4_126680975759790,0.12680238
Run4_126680975988467,0.15036035
Run4_126680976217949,0.4619077
Run4_126681601142061,0.42578477
Run4_126681615616421,0.06208414
Run4_126681627872157,0.1382049
Run4_126681646815132,0.19940501
Run4_126681647049453,0.18642484
Run4_126706324032926,0.18451844
Run4_126706324223852,0.08974974
Run4_126706324232987,0.22034065
Run4_126706324233525,0.2083002
Run4_126706343636326,0.229862
Run4_126707773105894,0.5775901
Run4_126707788531571,0.58887184
Run4_126707800401843,0.6417744
Run4_126707800665315,0.16767104
